Year;AL;AR;AZ;CA;CO;CT;DE;FL;GA;IA;ID;IL;IN;KS;KY;LA;MA;MD;ME;MI;MN;MO;MS;MT;NC;ND;NE;NH;NJ;NM;NV;NY;OH;OK;OR;PA;RI;SC;SD;TN;TX;UT;VA;VT;WA;WI;WV;WY
1960;1,6498;1,6749;3,7769;6,3978;2,8918;0,2276;0,1160;2,1582;2,1511;3,4040;1,4470;3,8013;2,1251;4,8012;1,8480;0,9800;0,2013;0,6879;0,2474;1,9088;3,2479;3,1175;1,9019;5,0040;1,7165;3,7834;4,6535;0,1529;0,5840;3,7440;0,7454;1,5493;2,3970;3,5005;1,8923;1,8382;0,0321;1,0204;3,8699;1,7075;15,1196;1,3770;1,5365;0,3052;1,5592;2,3605;0,6405;2,8370
1961;1,6181;1,6770;3,8007;6,4773;2,8943;0,2188;0,1147;2,1738;2,1093;3,4002;1,4580;3,7851;2,1085;4,8112;1,8364;0,9814;0,1919;0,6779;0,2407;1,8815;3,2482;3,1012;1,8873;5,0387;1,6841;3,8004;4,6677;0,1467;0,5612;3,7366;0,7585;1,5186;2,3718;3,4948;1,8894;1,8115;0,0307;0,9943;3,8789;1,6850;15,0625;1,3831;1,5082;0,2968;1,5735;2,3470;0,6261;2,8676
1962;1,5995;1,6848;3,8189;6,5655;2,8907;0,2119;0,1137;2,2103;2,0803;3,3968;1,4651;3,7693;2,0934;4,8215;1,8255;0,9861;0,1834;0,6695;0,2335;1,8565;3,2489;3,0896;1,8773;5,0634;1,6551;3,8215;4,6781;0,1408;0,5446;3,7448;0,7613;1,4892;2,3531;3,4900;1,8797;1,7864;0,0292;0,9719;3,8878;1,6677;15,0153;1,3822;1,4814;0,2876;1,5798;2,3342;0,6142;2,8931
1963;1,5867;1,6953;3,8134;6,6235;2,8806;0,2058;0,1128;2,2476;2,0546;3,3941;1,4677;3,7577;2,0814;4,8285;1,8161;0,9907;0,1754;0,6603;0,2249;1,8316;3,2465;3,0860;1,8672;5,0743;1,6263;3,8440;4,6803;0,1345;0,5322;3,7612;0,7599;1,4579;2,3410;3,4888;1,8595;1,7579;0,0276;0,9508;3,8936;1,6558;14,9874;1,3705;1,4539;0,2775;1,5760;2,3175;0,6020;2,9094
1964;1,5725;1,7053;3,7615;6,6380;2,8616;0,1986;0,1120;2,2651;2,0220;3,3925;1,4645;3,7527;2,0738;4,8289;1,8090;0,9922;0,1675;0,6482;0,2144;1,8047;3,2385;3,0931;1,8528;5,0668;1,5941;3,8652;4,6691;0,1274;0,5221;3,7732;0,7712;1,4215;2,3352;3,4933;1,8249;1,7219;0,0258;0,9286;3,8942;1,6492;14,9857;1,3445;1,4241;0,2658;1,5594;2,2923;0,5875;2,9122
1965;1,5505;1,7114;3,6483;6,6119;2,8316;0,1896;0,1112;2,2472;1,9749;3,3920;1,4546;3,7563;2,0711;4,8192;1,8044;0,9883;0,1592;0,6316;0,2012;1,7738;3,2218;3,1114;1,8307;5,0382;1,5560;3,8844;4,6428;0,1190;0,5130;3,7601;0,7655;1,3778;2,3354;3,5038;1,7732;1,6749;0,0239;0,9035;3,8882;1,6471;15,0130;1,3014;1,3907;0,2527;1,5280;2,2558;0,5684;2,8981
1966;1,5209;1,7114;3,4904;6,5535;2,7925;0,1790;0,1104;2,1975;1,9153;3,3918;1,4395;3,7639;2,0709;4,8003;1,7996;0,9789;0,1508;0,6116;0,1863;1,7387;3,1963;3,1331;1,8016;4,9927;1,5123;3,8995;4,6053;0,1099;0,5042;3,7261;0,7625;1,3288;2,3370;3,5139;1,7090;1,6197;0,0219;0,8758;3,8779;1,6455;15,0405;1,2457;1,3546;0,2388;1,4852;2,2111;0,5452;2,8712
1967;1,4848;1,7041;3,3140;6,4726;2,7481;0,1676;0,1093;2,1266;1,8480;3,3900;1,4214;3,7702;2,0695;4,7734;1,7910;0,9648;0,1425;0,5904;0,1707;1,6996;3,1624;3,1491;1,7671;4,9379;1,4647;3,9093;4,5644;0,1007;0,4952;3,6823;0,7591;1,2775;2,3351;3,5158;1,6395;1,5601;0,0200;0,8460;3,8670;1,6400;15,0391;1,1841;1,3170;0,2247;1,4359;2,1626;0,5191;2,8366
1968;1,4438;1,6885;3,1452;6,3741;2,7034;0,1561;0,1079;2,0469;1,7777;3,3853;1,4024;3,7699;2,0638;4,7401;1,7751;0,9465;0,1346;0,5698;0,1558;1,6569;3,1205;3,1502;1,7289;4,8821;1,4147;3,9125;4,5262;0,0920;0,4855;3,6369;0,7559;1,2271;2,3243;3,5022;1,5725;1,4997;0,0183;0,8149;3,8585;1,6258;14,9779;1,1241;1,2791;0,2115;1,3852;2,1150;0,4911;2,7993
1969;1,3997;1,6644;3,0122;6,2654;2,6650;0,1453;0,1059;1,9723;1,7087;3,3763;1,3846;3,7580;2,0503;4,7024;1,7487;0,9251;0,1272;0,5518;0,1431;1,6109;3,0711;3,1280;1,6891;4,8344;1,3641;3,9078;4,4980;0,0845;0,4750;3,5978;0,7567;1,1807;2,3000;3,4663;1,5175;1,4424;0,0169;0,7832;3,8558;1,5990;14,8287;1,0737;1,2423;0,1999;1,3385;2,0725;0,4628;2,7648
