Year;AL;AR;AZ;CA;CO;CT;DE;FL;GA;IA;ID;IL;IN;KS;KY;LA;MA;MD;ME;MI;MN;MO;MS;MT;NC;ND;NE;NH;NJ;NM;NV;NY;OH;OK;OR;PA;RI;SC;SD;TN;TX;UT;VA;VT;WA;WI;WV;WY
1960;0,9676;1,0545;0,2784;3,3335;1,4011;0,3360;0,1480;0,6373;1,3512;5,5599;0,9452;4,8633;3,0245;3,0804;1,4503;0,8123;0,3457;0,7527;0,3873;2,8566;4,3948;2,5621;1,1458;1,2382;1,7233;2,3171;2,8604;0,1722;0,5246;0,3979;0,1187;2,5510;3,6048;1,7882;1,5189;2,4698;0,0527;0,7872;2,1913;1,4689;4,8350;0,4537;1,5764;0,3783;1,6837;4,6721;0,5587;0,4728
1961;0,9573;1,0458;0,2825;3,2853;1,3914;0,3274;0,1460;0,6443;1,3313;5,5055;0,9418;4,8257;3,0172;3,0751;1,4472;0,8116;0,3353;0,7389;0,3776;2,8084;4,3595;2,5453;1,1364;1,2200;1,7225;2,2921;2,8462;0,1664;0,5117;0,3934;0,1176;2,4905;3,5724;1,7667;1,4775;2,4142;0,0516;0,7778;2,1795;1,4605;4,7732;0,4496;1,5620;0,3715;1,6552;4,5923;0,5499;0,4644
1962;0,9515;1,0474;0,2904;3,2482;1,3830;0,3203;0,1439;0,6528;1,3185;5,5222;0,9430;4,8224;3,0065;3,0622;1,4510;0,8139;0,3255;0,7245;0,3684;2,7787;4,3564;2,5571;1,1339;1,1942;1,7302;2,2228;2,8229;0,1611;0,5016;0,3953;0,1164;2,4398;3,5298;1,7406;1,4370;2,3657;0,0505;0,7711;2,1423;1,4571;4,7375;0,4460;1,5494;0,3644;1,6298;4,5220;0,5393;0,4599
1963;0,9592;1,0772;0,3035;3,2538;1,3747;0,3170;0,1432;0,6730;1,3195;5,5812;0,9572;4,8699;3,0440;3,0721;1,4793;0,8319;0,3197;0,7155;0,3640;2,7692;4,3529;2,5895;1,1492;1,2092;1,7701;2,2774;2,8517;0,1578;0,4962;0,3992;0,1171;2,4086;3,5234;1,7272;1,4083;2,3289;0,0498;0,7758;2,1448;1,4726;4,7606;0,4476;1,5511;0,3604;1,6196;4,4819;0,5322;0,4583
1964;0,9816;1,1221;0,3197;3,2808;1,3682;0,3164;0,1430;0,7035;1,3413;5,7129;0,9830;4,9770;3,1109;3,0946;1,5217;0,8685;0,3158;0,7085;0,3649;2,7824;4,4277;2,6739;1,1792;1,2298;1,8225;2,2951;2,8801;0,1549;0,4930;0,4098;0,1198;2,4065;3,5539;1,7272;1,3914;2,3202;0,0492;0,7851;2,1619;1,5013;4,8154;0,4513;1,5343;0,3579;1,6198;4,4443;0,5273;0,4621
1965;1,0077;1,1821;0,3384;3,3207;1,3671;0,3157;0,1424;0,7337;1,3594;5,8538;1,0127;5,0753;3,1699;3,1189;1,5575;0,9019;0,3119;0,7047;0,3759;2,8114;4,4691;2,7613;1,2188;1,2435;1,8860;2,3395;2,9086;0,1526;0,4877;0,4171;0,1212;2,4002;3,5752;1,7363;1,3721;2,3118;0,0488;0,7952;2,1492;1,5326;4,8889;0,4555;1,5410;0,3553;1,6159;4,4140;0,5217;0,4636
1966;1,0397;1,2517;0,3575;3,3886;1,3840;0,3184;0,1461;0,7691;1,3885;6,0665;1,0483;5,3239;3,2741;3,2040;1,6181;0,9354;0,3103;0,7107;0,3796;2,8338;4,5604;2,8923;1,2585;1,2743;1,9522;2,4064;2,9917;0,1517;0,4876;0,4287;0,1230;2,4204;3,6441;1,7574;1,3589;2,3273;0,0486;0,8125;2,1802;1,5713;5,0341;0,4665;1,5551;0,3549;1,6162;4,4297;0,5184;0,4666
1967;1,0695;1,3282;0,3730;3,4670;1,4163;0,3237;0,1474;0,8080;1,4260;6,3781;1,0841;5,5054;3,3914;3,2790;1,6980;0,9899;0,3107;0,7153;0,3846;2,8849;4,7148;3,0234;1,3125;1,3104;2,0421;2,4622;3,1363;0,1518;0,4899;0,4449;0,1260;2,4693;3,7707;1,7849;1,3555;2,3436;0,0485;0,8315;2,2194;1,6245;5,2086;0,4767;1,5687;0,3605;1,6360;4,4926;0,5143;0,4733
1968;1,1111;1,4062;0,3930;3,5629;1,4469;0,3285;0,1528;0,8543;1,4818;6,7085;1,1395;5,8403;3,5192;3,3853;1,8006;1,0516;0,3102;0,7324;0,3865;2,9479;4,8769;3,1756;1,3605;1,3607;2,1382;2,5430;3,2567;0,1517;0,4966;0,4635;0,1308;2,5264;3,8771;1,8315;1,3610;2,4092;0,0482;0,8568;2,2893;1,6803;5,4137;0,4953;1,6038;0,3636;1,6719;4,5679;0,5205;0,4903
1969;1,1260;1,4513;0,4077;3,6094;1,4591;0,3283;0,1523;0,8850;1,4934;6,9109;1,1649;5,9405;3,5895;3,4569;1,8498;1,0908;0,3070;0,7330;0,3873;2,9694;4,9609;3,2945;1,3973;1,3845;2,1835;2,5968;3,3152;0,1494;0,4935;0,4677;0,1336;2,5336;3,9378;1,8609;1,3381;2,4121;0,0473;0,8551;2,3255;1,7231;5,5324;0,4983;1,6111;0,3628;1,6692;4,5868;0,5166;0,4929
1970;1,1412;1,4902;0,4200;3,6183;1,4662;0,3260;0,1537;0,9180;1,5067;7,0022;1,1915;6,0580;3,6494;3,5135;1,8957;1,1048;0,3020;0,7332;0,3859;2,9669;4,9916;3,3198;1,3954;1,3905;2,2196;2,6435;3,3948;0,1461;0,4891;0,4812;0,1375;2,5277;3,9529;1,8768;1,3167;2,4096;0,0462;0,8566;2,3255;1,7306;5,6259;0,4996;1,6155;0,3585;1,6503;4,5598;0,5109;0,4961
1971;1,1517;1,5387;0,4286;3,6624;1,4946;0,3249;0,1557;0,9315;1,5294;7,1152;1,2110;6,1125;3,7215;3,5476;1,9342;1,1367;0,2982;0,7400;0,3837;2,9824;5,0409;3,3911;1,4331;1,3879;2,2579;2,6416;3,3932;0,1440;0,4846;0,4719;0,1407;2,5411;4,0100;1,8672;1,3009;2,4218;0,0452;0,8591;2,3238;1,7747;5,6975;0,5014;1,6186;0,3598;1,6443;4,5659;0,5032;0,4994
