SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,NPOPCHG_2000,NPOPCHG_2001,NPOPCHG_2002,NPOPCHG_2003,NPOPCHG_2004,NPOPCHG_2005,NPOPCHG_2006,NPOPCHG_2007,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,BIRTHS2005,BIRTHS2006,BIRTHS2007,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,DEATHS2005,DEATHS2006,DEATHS2007,NATURALINC2000,NATURALINC2001,NATURALINC2002,NATURALINC2003,NATURALINC2004,NATURALINC2005,NATURALINC2006,NATURALINC2007,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNATIONALMIG2005,INTERNATIONALMIG2006,INTERNATIONALMIG2007,INTERNALMIG2000,INTERNALMIG2001,INTERNALMIG2002,INTERNALMIG2003,INTERNALMIG2004,INTERNALMIG2005,INTERNALMIG2006,INTERNALMIG2007,NETMIG2000,NETMIG2001,NETMIG2002,NETMIG2003,NETMIG2004,NETMIG2005,NETMIG2006,NETMIG2007,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,RESIDUAL2005,RESIDUAL2006,RESIDUAL2007,GQESTIMATESBASE2000,GQESTIMATES2000,GQESTIMATES2001,GQESTIMATES2002,GQESTIMATES2003,GQESTIMATES2004,GQESTIMATES2005,GQESTIMATES2006,GQESTIMATES2007,RBIRTH2001,RBIRTH2002,RBIRTH2003,RBIRTH2004,RBIRTH2005,RBIRTH2006,RBIRTH2007,RDEATH2001,RDEATH2002,RDEATH2003,RDEATH2004,RDEATH2005,RDEATH2006,RDEATH2007,RNATURALINC2001,RNATURALINC2002,RNATURALINC2003,RNATURALINC2004,RNATURALINC2005,RNATURALINC2006,RNATURALINC2007,RINTERNATIONALMIG2001,RINTERNATIONALMIG2002,RINTERNATIONALMIG2003,RINTERNATIONALMIG2004,RINTERNATIONALMIG2005,RINTERNATIONALMIG2006,RINTERNATIONALMIG2007,RINTERNALMIG2001,RINTERNALMIG2002,RINTERNALMIG2003,RINTERNALMIG2004,RINTERNALMIG2005,RINTERNALMIG2006,RINTERNALMIG2007,RNETMIG2001,RNETMIG2002,RNETMIG2003,RNETMIG2004,RNETMIG2005,RNETMIG2006,RNETMIG2007
040,3,6,01,000,Alabama,Alabama,4447100,4447351,4451887,4463224,4471006,4488071,4508540,4539611,4590240,4627851,4536,11337,7782,17065,20469,31071,50629,37611,15077,62358,59559,58595,59549,60067,60898,61795,10564,45163,45754,45883,46913,46548,47003,47190,4513,17195,13805,12712,12636,13519,13895,14605,1387,5164,4248,2475,4847,3818,4634,4077,-1481,-8779,-8445,5009,5214,16445,33453,18427,-94,-3615,-4197,7484,10061,20263,38087,22504,117,-2243,-1826,-3131,-2228,-2711,-1353,502,114720,114720,116446,115651,118080,116705,117734,119159,119160,13.989281794,13.332766226,13.080588547,13.23809599,13.277187792,13.340414865,13.407331301,10.131786357,10.242404774,10.242796217,10.429038223,10.288952958,10.29655358,10.23856241,3.8574954367,3.0903614525,2.8377923306,2.8090577663,2.9882348338,3.0438612854,3.1687688915,1.1584824911,0.9509493264,0.5525122733,1.0775168561,0.8439293288,1.0151315722,0.8845649278,-1.969465103,-1.890481888,1.1181955463,1.1591031334,3.6349968076,7.3282685555,3.9980078305,-0.810982611,-0.939532562,1.6707078196,2.2366199895,4.4789261364,8.3434001278,4.8825727583
050,3,6,01,001,Alabama,Autauga County,43671,43671,43877,44443,45174,45785,46969,47917,49109,49960,206,566,731,611,1184,948,1192,851,145,635,592,613,636,674,661,716,79,354,367,401,396,407,445,460,66,281,225,212,240,267,216,256,7,4,-25,-74,41,-5,23,1,132,319,553,505,958,725,976,587,139,323,528,431,999,720,999,588,1,-38,-22,-32,-55,-39,-23,7,260,260,260,260,260,260,260,260,260,14.379528986,13.211779015,13.478600248,13.713694288,14.20652151,13.62521386,14.454572066,8.0163043478,8.1904103016,8.8171593795,8.5387153115,8.5787155112,9.1727990436,9.2864569139,6.3632246377,5.0213687135,4.661440869,5.1749789766,5.6278059988,4.4524148166,5.1681151521,0.0905797101,-0.557929857,-1.627106718,0.8840589085,-0.105389625,0.4740997258,0.0201879498,7.2237318841,12.341408438,11.103903957,20.656791082,15.28149569,20.118318801,11.85032654,7.3143115942,11.783478581,9.4767972383,21.54084999,15.176106064,20.592418527,11.87051449
050,3,6,01,003,Alabama,Baldwin County,140415,140415,141364,144960,148071,151574,156368,162261,168233,171769,949,3596,3111,3503,4794,5893,5972,3536,428,1889,1752,1796,1846,2021,2150,2266,342,1340,1446,1472,1553,1529,1661,1676,86,549,306,324,293,492,489,590,49,190,174,131,150,144,157,148,835,2824,2606,2946,4407,5205,5343,2825,884,3014,2780,3077,4557,5349,5500,2973,-21,33,25,102,-56,52,-17,-27,2274,2274,2331,2335,2359,2198,2186,2166,2166,13.194842207,11.957779211,11.987518564,11.989270707,12.685599867,13.010826218,13.329333357,9.3600257051,9.869262979,9.8249595355,10.086314955,9.5973687266,10.051619697,9.8587655367,3.8348165016,2.0885162321,2.1625590282,1.9029557514,3.0882311403,2.9592065211,3.4705678202,1.3271678239,1.1875876614,0.8743680021,0.974209429,0.9038725289,0.9500928912,0.8705831142,19.725904919,17.786514055,19.663268201,28.622273025,32.671225783,32.333416038,16.617549309,21.053072743,18.974101716,20.537636203,29.596482454,33.575098312,33.283508929,17.488132423
050,3,6,01,005,Alabama,Barbour County,29038,29038,29034,28958,28813,28783,28535,28302,28125,27941,-4,-76,-145,-30,-248,-233,-177,-184,85,431,378,359,313,368,339,322,70,323,334,296,284,301,327,303,15,108,44,63,29,67,12,19,9,47,44,39,35,36,39,37,-30,-205,-211,-91,-289,-316,-219,-241,-21,-158,-167,-52,-254,-280,-180,-204,2,-26,-22,-41,-23,-20,-9,1,2718,2718,2701,2893,3149,3162,3162,3167,3167,14.864119189,13.086150491,12.466143482,10.921525524,12.949311188,12.015524483,11.486462384,11.139467513,11.562894878,10.278491562,9.9096269933,10.591692032,11.590196183,10.808689758,3.7246516761,1.5232556127,2.1876519203,1.011898531,2.3576191565,0.4253283003,0.6777726251,1.6209132294,1.5232556127,1.3542607125,1.2212568478,1.2667804423,1.3823169759,1.3198730068,-7.069940681,-7.304703052,-3.159941663,-10.08409226,-11.11951722,-7.76224148,-8.597010666,-5.449027452,-5.781447439,-1.80568095,-8.862835409,-9.852736774,-6.379924504,-7.277137659
050,3,6,01,007,Alabama,Bibb County,20826,19889,19939,20947,20994,21051,21227,21397,21341,21535,50,1008,47,57,176,170,-56,194,68,272,297,247,275,252,269,256,59,193,214,221,235,219,226,218,9,79,83,26,40,33,43,38,2,7,6,2,7,5,7,5,38,920,-24,54,143,148,-98,150,40,927,-18,56,150,153,-91,155,1,2,-18,-25,-14,-16,-8,1,302,302,1198,1234,1217,1297,1299,1300,1300,13.305287874,14.162752438,11.749316209,13.009130044,11.824324324,12.588328888,11.941412445,9.4408844103,10.204811521,10.512546082,11.116892947,10.275900901,10.576068136,10.168859035,3.8644034633,3.957940917,1.2367701272,1.8922370973,1.5484234234,2.0122607516,1.7725534098,0.3424154967,0.2861162109,0.0951361636,0.331141492,0.2346096096,0.3275773316,0.2332307118,45.003179572,-1.144464843,2.5686764181,6.7647476229,6.9444444444,-4.586082643,6.9969213546,45.345595069,-0.858348633,2.6638125818,7.0958891149,7.1790540541,-4.258505311,7.2301520664
050,3,6,01,009,Alabama,Blount County,51024,51023,51184,51996,52767,53705,54441,54983,55811,56614,161,812,771,938,736,542,828,803,166,686,679,661,690,685,710,730,87,480,511,556,514,542,551,558,79,206,168,105,176,143,159,172,25,102,97,84,83,80,82,80,60,537,537,772,519,365,610,537,85,639,634,856,602,445,692,617,-3,-33,-31,-23,-42,-46,-23,14,610,610,610,610,610,610,610,610,610,13.297150611,12.962591755,12.416409948,12.760527435,12.520105279,12.816578515,12.986435401,9.3041287071,9.7553525577,10.44406041,9.5056682633,9.9064190671,9.9463869885,9.9266177452,3.9930219035,3.207239197,1.9723495379,3.2548591719,2.6136862114,2.8701915266,3.0598176562,1.9771273503,1.8517988221,1.5778796303,1.5349619958,1.4622020763,1.4802245609,1.4231710029,10.408993991,10.251711005,14.501465174,9.5981358534,6.6712969732,11.011426612,9.5530353569,12.386121341,12.103509827,16.079344804,11.133097849,8.1334990496,12.491651172,10.97620636
050,3,6,01,011,Alabama,Bullock County,11714,11626,11605,11380,11263,11307,11039,10968,10742,10781,-21,-225,-117,44,-268,-71,-226,39,41,166,148,141,145,166,177,152,34,137,147,129,129,134,100,120,7,29,1,12,16,32,77,32,10,43,41,35,35,35,36,36,-38,-289,-155,12,-304,-132,-336,-24,-28,-246,-114,47,-269,-97,-300,12,0,-8,-4,-15,-15,-6,-3,-5,1511,1511,1504,1541,1642,1523,1608,1485,1485,14.444202741,13.072472729,12.494461675,12.977714132,15.086108965,16.305849839,14.124425034,11.920817925,12.98414521,11.431103234,11.545690504,12.177943382,9.2123445417,11.150861869,2.5233848162,0.0883275184,1.0633584404,1.4320236284,2.9081655837,7.0935052971,2.973563165,3.7415705895,3.621428256,3.1014621179,3.1325516871,3.1808061071,3.316444035,3.3452585606,-25.14683489,-13.69076536,1.0633584404,-27.20844894,-11.99618303,-30.95347766,-2.230172374,-21.4052643,-10.0693371,4.1648205583,-24.07589725,-8.815376926,-27.63703363,1.1150861869
050,3,6,01,013,Alabama,Butler County,21399,21399,21315,21039,20615,20546,20490,20354,20213,20157,-84,-276,-424,-69,-56,-136,-141,-56,68,293,265,269,275,246,279,278,69,259,322,291,294,292,292,298,-1,34,-57,-22,-19,-46,-13,-20,0,3,2,0,5,2,4,2,-83,-300,-358,-22,-31,-78,-126,-39,-83,-297,-356,-22,-26,-76,-122,-37,0,-13,-11,-25,-11,-14,-6,1,265,265,265,265,265,265,265,265,265,13.835765217,12.723868056,13.070625106,13.402865776,12.045832925,13.755022555,13.772603418,12.230249799,15.460700053,14.139598163,14.328881957,14.298305749,14.395937585,14.763438197,1.6055154177,-2.736831997,-1.068973057,-0.926016181,-2.252472823,-0.640915029,-0.990834778,0.1416631251,0.0960291929,0,0.2436884687,0.097933601,0.1972046244,0.0990834778,-14.16631251,-17.18922552,-1.068973057,-1.510868506,-3.81941044,-6.21194567,-1.932127818,-14.02464938,-17.09319633,-1.068973057,-1.267180037,-3.721476839,-6.014741046,-1.83304434
050,3,6,01,015,Alabama,Calhoun County,112249,112243,111353,111020,110859,111366,111603,112054,112704,113103,-890,-333,-161,507,237,451,650,399,372,1561,1492,1412,1523,1513,1467,1517,309,1388,1321,1213,1313,1345,1352,1309,63,173,171,199,210,168,115,208,17,64,53,31,59,48,60,53,-959,-480,-308,403,25,323,516,110,-942,-416,-255,434,84,371,576,163,-11,-90,-77,-126,-57,-88,-41,28,2428,2428,2418,2379,2489,2713,2791,2779,2779,14.039474217,13.448771628,12.707841152,13.661091901,13.529645842,13.054040346,13.436253083,12.483529925,11.907390965,10.916863539,11.777421973,12.027345444,12.030717483,11.593971843,1.5559442918,1.5413806624,1.7909776128,1.8836699272,1.5023003975,1.0233228628,1.8422812402,0.575609449,0.4777378661,0.2789965125,0.529221551,0.429228685,0.5339075806,0.4694274314,-4.317070867,-2.776287977,3.6269546631,0.2242464199,2.8883513594,4.5916051931,0.9742833482,-3.741461418,-2.298550111,3.9059511756,0.7534679709,3.3175800444,5.1255127737,1.4437107796
050,3,6,01,017,Alabama,Chambers County,36583,36583,36563,36257,35934,35610,35376,35163,34821,34764,-20,-306,-323,-324,-234,-213,-342,-57,110,458,430,447,437,415,419,420,107,508,467,460,451,480,503,485,3,-50,-37,-13,-14,-65,-84,-65,1,19,16,14,18,16,18,16,-25,-248,-278,-291,-215,-135,-265,-20,-24,-229,-262,-277,-197,-119,-247,-4,1,-27,-24,-34,-23,-29,-11,12,518,518,518,518,518,518,518,518,518,12.578961824,11.912842321,12.495806776,12.31228693,11.766540495,11.974165524,12.071567148,13.952210931,12.937900846,12.859219501,12.706730905,13.609492621,14.37471422,13.939785873,-1.373249107,-1.025058525,-0.363412725,-0.394443975,-1.842952126,-2.400548697,-1.868218725,0.5218346608,0.4432685515,0.39136755,0.5071422534,0.453649754,0.5144032922,0.4598692247,-6.811315573,-7.701791082,-8.134854076,-6.057532471,-3.8276698,-7.573159579,-0.574836531,-6.289480912,-7.258522531,-7.743486526,-5.550390218,-3.374020046,-7.058756287,-0.114967306
