"","State","County.ANSI","County","commodities","fips","Population","x","y"
"1","alabama",1,"autauga",21460000,"001",49960,32.5349201866,-86.642749235
"2","alabama",3,"baldwin",120382000,"003",171769,30.6609696648,-87.7498400784
"3","alabama",5,"barbour",105565000,"005",27941,31.8696032448,-85.3931969755
"4","alabama",7,"bibb",4199000,"007",21535,32.9986442965,-87.1264391014
"5","alabama",9,"blount",242855000,"009",56614,33.9808673856,-86.5673709608
"6","alabama",11,"bullock",44459000,"011",10781,32.1005542205,-85.7156972254
"7","alabama",13,"butler",132029000,"013",20157,31.7524339429,-86.6802892154
"8","alabama",15,"calhoun",86807000,"015",113103,33.7714324565,-85.8260308543
"9","alabama",17,"chambers",9059000,"017",34764,32.9143722298,-85.3920429513
"10","alabama",19,"cherokee",152078000,"019",24560,34.1759559677,-85.6037937156
"11","alabama",21,"chilton",14490000,"021",42299,32.847853212,-86.718813672
"12","alabama",23,"choctaw",8261000,"023",14173,32.0196107831,-88.2632012743
"13","alabama",25,"clarke",2878000,"025",26496,31.6766595802,-87.8308098507
"14","alabama",27,"clay",81329000,"027",13788,33.2690858673,-85.8605470841
"15","alabama",29,"cleburne",117455000,"029",14700,33.6745577167,-85.5187680028
"16","alabama",31,"coffee",199534000,"031",46793,31.4026271796,-85.9882069262
"17","alabama",33,"colbert",60191000,"033",54588,34.7004337984,-87.8049852867
"18","alabama",35,"conecuh",21026000,"035",13160,31.4292715445,-86.9936742092
"19","alabama",37,"coosa",1707000,"037",10864,32.9362268304,-86.2476592648
"20","alabama",39,"covington",126512000,"039",37007,31.2484923988,-86.4512425439
"21","alabama",41,"crenshaw",164850000,"041",13805,31.7315001844,-86.3135388959
"22","alabama",43,"cullman",470723000,"043",80554,34.1319410705,-86.8676194614
"23","alabama",45,"dale",172041000,"045",48150,31.4318270699,-85.6110368183
"24","alabama",47,"dallas",6.4e+07,"047",43079,32.325973709,-87.1064763258
"25","alabama",51,"elmore",27594000,"051",77525,32.5966480504,-86.1491465307
"26","alabama",53,"escambia",30977000,"053",37600,31.1261225461,-87.1616198682
