Year;AL;AR;AZ;CA;CO;CT;DE;FL;GA;IA;ID;IL;IN;KS;KY;LA;MA;MD;ME;MI;MN;MO;MS;MT;NC;ND;NE;NH;NJ;NM;NV;NY;OH;OK;OR;PA;RI;SC;SD;TN;TX;UT;VA;VT;WA;WI;WV;WY
1960;3,4262;4,7559;0,9777;12,0766;2,3066;0,9001;0,3445;2,7052;4,1340;11,1352;2,6070;8,6390;7,3171;5,9998;5,8332;3,3242;1,4667;1,6121;1,0680;7,7310;9,4488;8,7756;5,8611;1,8559;9,0890;3,1994;5,9945;0,5114;1,3437;1,2686;0,1793;5,9105;8,2937;4,6566;3,1817;6,7157;0,1617;3,6530;3,4435;5,5363;12,5889;1,1274;4,9197;1,1855;3,6352;10,9618;1,7710;0,8382
1961;3,2043;4,3934;0,8777;11,5372;2,1997;0,8268;0,3214;2,5963;3,8702;10,6970;2,5901;8,1968;6,9071;5,6244;5,6700;3,2302;1,3320;1,5468;1,0384;7,4005;9,0612;8,3062;5,3932;1,7061;8,6922;2,9537;5,6524;0,4631;1,2633;1,1483;0,1627;5,7188;7,8004;4,4869;3,0719;6,2939;0,1452;3,6226;3,2335;5,1696;12,0401;1,0884;4,7555;1,0819;3,4484;10,3776;1,6359;0,8093
1962;3,0393;4,2574;0,8223;11,0059;2,1944;0,8408;0,3198;2,6345;3,6204;10,5480;2,5814;8,1711;6,6978;5,4996;5,4943;3,0637;1,2580;1,5806;0,9978;7,0121;9,0703;8,1264;5,3091;1,7216;8,3116;2,9449;5,5074;0,4282;1,2508;1,1004;0,1677;5,5398;7,5445;4,2416;3,1192;5,8576;0,1264;3,5022;3,2064;4,8297;11,7805;1,0823;4,4670;1,0070;3,3376;10,1375;1,5377;0,7683
1963;3,0041;4,1181;0,8063;10,3457;2,0100;0,7760;0,2974;2,5691;3,8929;10,1662;2,5532;7,8095;6,3632;5,3041;5,5334;2,9542;1,1417;1,5430;1,0492;6,8931;8,8906;7,7274;4,9081;1,6591;8,3100;2,7333;5,0665;0,4181;1,1933;1,0255;0,1682;5,1893;7,1561;4,0542;2,9603;5,5478;0,0991;3,2203;3,1011;4,8467;10,9773;1,0077;4,2175;0,9419;3,3014;9,8162;1,3555;0,7994
1964;2,9137;3,6566;0,8377;9,8519;1,8629;0,7555;0,2633;2,6207;3,5474;9,5245;2,5540;7,2352;5,9055;5,1870;5,3329;2,8130;1,0713;1,4516;1,0240;6,4322;8,6398;7,4650;4,7114;1,6011;7,5512;2,5793;4,7971;0,3993;1,1654;0,9636;0,1702;4,8454;6,7783;3,6426;2,9505;5,2922;0,0858;2,9746;2,9239;4,6924;10,0995;0,9731;4,0677;0,9190;3,2168;9,0924;1,2520;0,7921
1965;2,8759;3,5521;0,8342;10,1543;1,8182;0,7476;0,2769;2,7868;3,5016;9,4290;2,5628;7,0064;5,6635;5,1191;5,1864;2,6995;1,0746;1,4749;1,0065;6,0965;8,4825;7,2123;4,4464;1,6191;7,3350;2,6129;4,7395;0,4106;1,1428;0,8927;0,1762;4,7913;6,5280;3,5775;2,8041;5,0270;0,0939;2,7801;2,8422;4,3734;9,4436;0,9286;3,8797;0,9236;3,0158;9,3133;1,2254;0,7618
1966;2,6896;2,9345;0,8070;10,0473;1,8972;0,6714;0,2423;2,7636;2,8859;9,2052;2,4208;6,3580;5,2328;4,9702;4,7601;2,5275;0,9525;1,2519;0,9934;5,8847;7,9646;6,7297;4,0386;1,6644;6,6189;2,5173;4,4696;0,3765;0,9028;0,8213;0,1491;4,4071;6,1367;3,5972;2,3958;4,7055;0,0871;2,2601;2,8200;4,3732;8,6040;0,8617;3,5127;0,8611;2,8860;8,6679;1,0516;0,7222
1967;2,7138;3,1824;0,8271;8,5589;1,9687;0,5374;0,1963;3,0343;2,9250;8,6536;2,1422;6,2013;4,4438;4,6389;4,8398;2,2873;0,7795;1,1514;0,8005;5,3394;7,5463;6,3351;3,4688;1,6156;6,4146;2,3467;4,2242;0,3177;0,7925;0,7843;0,1883;4,1440;5,8175;3,8658;2,2381;4,6355;0,0855;2,1812;2,7090;3,7272;8,5668;0,8112;3,3647;0,6984;2,5236;8,0279;1,0433;0,6995
1968;2,6958;3,1875;0,8196;8,9897;2,0756;0,5323;0,1812;2,8103;2,8961;8,1502;1,9521;5,7116;4,1214;4,3568;4,1720;2,1726;0,7607;1,0996;0,7338;4,8855;7,0351;5,8344;3,5051;1,4961;5,9962;2,2402;4,0600;0,3128;0,7409;0,8344;0,1835;3,9906;5,2871;3,6703;2,0722;4,3764;0,0891;2,1199;2,6192;3,5592;8,4274;0,7696;3,2751;0,6385;2,4811;7,9321;0,9873;0,6692
1969;2,5728;3,4056;0,8457;8,8184;2,0602;0,4977;0,1943;2,7077;2,6454;8,1088;1,9805;5,4787;3,9231;4,0341;3,8557;1,9449;0,6708;1,0518;0,7203;4,6447;6,8940;5,7516;3,1163;1,5308;5,5853;2,2026;3,9647;0,2822;0,7030;0,7600;0,1638;3,9752;5,0188;3,6515;2,0745;4,1686;0,0706;1,9965;2,6093;3,2947;8,6472;0,7584;3,1523;0,6088;2,5200;7,7321;0,9476;0,6445
